"","report_id","AGENT","IS_LOCAL","EDU_LEVEL","MARRY_STATUS","SALARY","HAS_FUND","Y","gender","domicile","debt_amount","loantype1_cnt","loantype2_cnt","loantype3_cnt","guarantee1_cnt","guarantee2_cnt","query1","query2","query3","account1","account2","account3","balance_sum","institutions_cnt","used_amount_sum","ovd_yuqi_n1","ovd_yuqi_n2","ovd_yuqi_n3"
"24",125045,"missing","本地籍","专科及以下","离异",-1,1,0,"女","220103",207460,1,0,0,0,9,3,0,1,1,0,1,4167,6,93907,0,0,2
"25",126671,"APP","本地籍","专科及以下","已婚",2,0,0,"女","332523",34500,0,3,0,0,3,3,1,3,1,0,1,19652,5,12097,0,0,0
"26",128098,"missing","非本地籍","本科","未婚",-1,1,0,"女","370702",103950,0,6,0,0,12,48,0,28,1,1,1,21263,15,38162,0,0,2
"27",128445,"APP","非本地籍","专科及以下","已婚",5,1,0,"女","340123",209920,0,1,0,0,10,11,0,7,1,0,1,54600,7,91989,0,0,1
"28",130668,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","230108",42000,0,0,0,0,9,14,0,2,0,0,1,0,6,26103,0,0,0
"29",130703,"missing","非本地籍","专科及以下","离异",-1,1,1,"男","220702",10000,0,0,0,0,2,3,0,4,0,0,1,0,1,0,0,0,1
"30",134260,"wechat","非本地籍","专科及以下","已婚",4,1,0,"女","350583",43000,0,0,0,0,7,15,0,12,0,0,1,0,5,41393,0,0,0
"31",138349,"missing","非本地籍","本科","未婚",-1,0,0,"男","330327",130896,11,4,0,0,6,5,0,7,1,0,1,35109,9,71718,0,0,4
"32",138676,"missing","本地籍","本科","未婚",-1,0,0,"女","130403",39000,0,6,0,0,6,1,0,3,1,0,1,18230,6,14591,0,0,0
"33",138988,"missing","非本地籍","专科及以下","未婚",-1,0,0,"女","310107",41691,0,6,0,0,6,4,0,7,1,0,1,4193,5,24168,0,0,3
"34",139114,"missing","非本地籍","专科及以下","已婚",-1,1,0,"男","412826",97500,1,0,0,0,9,6,1,6,1,0,1,14141,7,52295,0,0,4
"35",140614,"missing","本地籍","本科","已婚",-1,0,0,"男","350521",174400,0,0,0,0,12,13,2,5,0,0,1,0,8,136559,0,0,0
"36",142657,"missing","本地籍","专科及以下","未婚",-1,1,0,"男","421087",242600,0,5,1,0,2,3,0,8,1,0,1,135900,8,11092,0,0,0
"37",142665,"wechat","本地籍","专科及以下","已婚",3,1,0,"男","430211",51000,0,1,0,0,13,6,0,8,1,0,1,5000,5,45822,0,0,4
"38",142853,"APP","非本地籍","专科及以下","已婚",5,1,0,"男","422129",202500,0,1,0,0,8,2,0,6,1,0,1,20000,8,146362,0,0,3
"39",144510,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","320705",218088,0,4,0,0,12,8,0,30,1,1,1,29345,11,128624,0,2,4
"40",144528,"APP","本地籍","专科及以下","已婚",3,0,0,"男","330106",12001,0,1,0,0,2,1,0,2,1,0,1,2000,3,4,0,0,0
"41",146533,"APP","本地籍","专科及以下","已婚",4,0,0,"女","332522",232400,1,1,0,0,10,4,0,7,1,0,1,203756,4,10677,0,0,0
"42",147496,"missing","非本地籍","本科","已婚",-1,0,0,"男","430524",98100,0,5,0,0,7,9,0,18,1,0,1,32913,9,53412,0,0,4
"43",147814,"APP","非本地籍","本科","未婚",5,0,0,"男","341126",79963,0,4,0,0,9,8,0,3,1,0,1,7064,8,34184,0,0,0
"44",151150,"APP","本地籍","专科及以下","已婚",5,0,0,"女","350623",4000,0,0,0,0,1,7,0,2,0,0,1,0,1,0,0,0,0
"45",151640,"APP","非本地籍","专科及以下","未婚",7,1,0,"男","210283",133184,0,2,0,0,14,19,0,10,1,1,1,10848,14,119300,0,1,1
"46",159514,"missing","非本地籍","本科","已婚",-1,0,1,"女","120106",35000,0,0,0,0,2,0,0,5,0,0,1,0,3,0,0,0,3
"47",160363,"APP","本地籍","专科及以下","未婚",4,0,0,"男","230103",110840,0,3,0,0,2,7,0,6,1,0,1,53490,6,13625,0,0,1
"48",161022,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","372928",10000,0,0,0,0,3,10,0,0,0,0,1,0,2,5114,0,0,0
"49",161233,"missing","非本地籍","专科及以下","已婚",-1,0,0,"女","342401",48520,0,2,0,0,9,15,0,8,1,0,1,5520,8,39826,0,0,0
"50",163711,"wechat","本地籍","专科及以下","已婚",2,0,0,"女","341124",17650,0,3,0,0,0,3,0,10,1,0,1,16957,4,21287,0,0,1
"51",163719,"APP","本地籍","专科及以下","已婚",3,1,0,"女","350622",6000,0,0,0,0,1,0,0,5,0,0,1,0,1,5878,0,0,0
"52",165469,"APP","本地籍","专科及以下","已婚",4,0,0,"男","410482",90000,0,0,0,0,6,10,1,3,0,0,1,0,6,5548,0,0,0
"53",165576,"missing","非本地籍","专科及以下","未婚",-1,0,0,"男","230406",48300,1,4,0,0,4,3,0,5,1,0,1,27514,7,19825,0,0,1
"54",167428,"APP","本地籍","专科及以下","已婚",4,0,1,"女","320305",77167,0,0,0,0,1,3,0,7,0,0,1,0,1,33607,0,0,1
"55",168790,"missing","本地籍","未知","未婚",-1,1,0,"男","130183",53000,0,0,0,0,6,35,1,17,0,0,1,0,5,18589,0,0,0
"56",169084,"wechat","本地籍","专科及以下","已婚",7,0,0,"男","370983",348980,4,5,0,0,9,19,0,12,1,1,1,239058,12,45032,0,1,0
"57",170491,"wechat","本地籍","专科及以下","已婚",3,1,0,"男","310108",14000,0,1,0,0,5,9,0,0,1,0,1,5000,4,6915,0,0,2
"58",171359,"missing","本地籍","本科","已婚",-1,0,0,"男","350204",240065,0,6,0,0,14,11,0,11,1,0,1,52886,14,145804,0,0,0
"59",173752,"APP","本地籍","本科","已婚",2,0,0,"女","410621",7000,0,0,0,0,1,1,0,3,0,0,1,0,1,7291,0,0,0
"60",174368,"APP","非本地籍","专科及以下","已婚",4,1,0,"女","410421",141496,0,8,0,0,10,11,0,13,1,0,1,33895,11,64559,0,0,1
"61",176385,"APP","本地籍","专科及以下","已婚",2,0,0,"男","340505",26200,0,0,0,0,4,4,0,3,0,0,1,0,4,16423,0,0,1
"62",180117,"missing","非本地籍","专科及以下","其他",-1,1,0,"女","330225",2500,0,2,0,0,4,10,0,6,1,0,1,334,3,408,0,0,0
"63",181200,"missing","非本地籍","本科","已婚",-1,0,1,"男","320203",40218,0,9,0,0,4,7,0,6,1,0,1,5933,5,21941,0,0,4
"64",181973,"missing","非本地籍","专科及以下","未婚",-1,0,0,"女","320721",13000,0,0,0,0,4,16,0,4,0,1,1,0,4,9461,0,0,3
"65",182242,"wechat","本地籍","未知","已婚",4,0,0,"女","350524",225400,0,6,0,0,12,19,0,23,1,0,1,10091,12,115978,0,0,3
"66",182405,"missing","本地籍","本科","已婚",-1,0,0,"男","321102",397649,0,1,0,0,5,10,0,5,1,1,1,155014,7,12172,0,0,0
"67",182616,"missing","本地籍","本科","已婚",-1,1,0,"男","320882",148500,3,2,1,0,3,2,1,10,1,0,1,97384,6,17914,0,0,1
"68",183519,"APP","本地籍","本科","未婚",2,0,1,"女","320682",23200,0,2,0,0,2,7,1,3,1,0,1,8200,3,6813,0,1,0
"69",183563,"missing","本地籍","专科及以下","未婚",-1,1,0,"女","211221",32000,0,0,0,0,3,5,1,1,0,0,1,0,3,19492,0,0,0
"70",183728,"missing","本地籍","专科及以下","已婚",-1,1,0,"男","350426",71489,0,0,0,0,6,4,0,5,0,1,1,0,4,75729,1,2,4
"71",184329,"missing","本地籍","专科及以下","已婚",-1,1,0,"女","370882",140600,0,1,0,0,6,5,1,5,1,0,1,80000,4,40220,0,2,3
"72",184385,"wechat","非本地籍","本科","已婚",7,0,0,"男","350627",482600,1,9,0,0,11,15,0,19,1,0,1,132779,13,164928,0,0,1
"73",184410,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","340311",67500,0,1,0,0,9,4,0,5,1,0,1,1268,5,23509,0,0,3
"74",184536,"APP","本地籍","专科及以下","已婚",3,0,0,"男","230203",5000,0,0,0,0,1,1,0,2,0,0,1,0,1,723,0,0,1
"75",185146,"missing","非本地籍","专科及以下","未婚",-1,0,0,"男","340822",62500,0,2,0,0,7,29,0,10,1,0,1,5813,9,49634,0,0,0
"76",185346,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","430421",36501,0,4,0,0,4,4,0,4,1,1,1,14000,8,2840,0,0,1
"77",185363,"missing","本地籍","本科","已婚",-1,0,0,"女","422826",30000,0,0,0,0,2,8,0,1,0,0,1,0,3,9123,0,0,0
"78",185630,"APP","非本地籍","专科及以下","已婚",3,0,0,"男","130531",10500,0,0,0,0,3,3,0,0,0,0,1,0,2,558,0,0,1
"79",185780,"APP","本地籍","专科及以下","未婚",3,1,0,"男","362204",95880,0,3,0,0,9,20,0,14,1,0,1,18917,8,75793,0,0,1
"80",186107,"missing","非本地籍","本科","未婚",-1,0,1,"男","130683",19600,0,2,0,0,3,3,0,7,1,0,1,6600,4,8412,0,0,1
"81",187352,"missing","本地籍","专科及以下","未婚",-1,0,0,"男","350429",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"82",188155,"APP","本地籍","专科及以下","已婚",3,0,0,"女","370882",110000,0,0,0,0,16,11,0,5,0,0,1,0,8,30204,0,0,0
"83",188201,"missing","非本地籍","本科","未婚",-1,0,0,"男","420923",79000,0,0,0,0,1,1,0,0,0,1,1,0,2,17667,1,0,0
"84",188238,"missing","非本地籍","本科","未婚",-1,1,0,"女","410426",38500,0,1,0,0,10,14,0,6,1,0,1,1700,6,33489,0,0,5
"85",188734,"APP","本地籍","专科及以下","离婚",4,0,0,"男","331023",468700,1,3,0,1,12,19,0,20,1,0,1,229920,15,157411,0,0,0
"86",188968,"APP","本地籍","专科及以下","未婚",2,0,0,"男","342623",24700,0,1,0,0,1,2,0,4,1,0,1,8978,2,4004,0,0,0
"87",190373,"missing","本地籍","专科及以下","未婚",-1,0,0,"男","430422",70650,0,6,0,0,4,9,0,11,1,0,1,9745,7,41387,0,0,1
"88",190603,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","420521",43300,0,0,0,0,8,24,0,5,0,0,1,0,5,13097,0,1,3
"89",191695,"wechat","非本地籍","专科及以下","已婚",2,1,0,"男","331022",88333,0,7,0,0,9,10,0,10,1,0,1,11756,11,64347,0,0,2
"90",192198,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","371102",55300,0,2,0,0,2,4,0,4,1,0,1,10108,2,3715,0,0,0
"91",192728,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","340803",219249,0,2,0,0,6,6,0,3,1,0,1,50000,8,26390,0,1,3
"92",193398,"missing","本地籍","本科","未婚",-1,0,0,"女","320503",42978,2,2,0,0,11,7,0,6,1,0,1,11168,7,26967,0,0,5
"93",193458,"missing","本地籍","专科及以下","已婚",-1,1,0,"女","320304",24000,0,0,0,0,5,8,0,3,0,0,1,0,3,15918,0,0,0
"94",193620,"missing","本地籍","专科及以下","未婚",-1,1,0,"女","410185",33000,0,0,0,0,4,4,0,5,0,0,1,0,2,7965,0,0,0
"95",193623,"APP","非本地籍","专科及以下","已婚",5,1,0,"女","411002",55100,0,0,0,0,4,4,0,0,0,0,1,0,3,38694,0,0,1
"96",194955,"wechat","本地籍","本科","未婚",3,0,0,"女","410185",127120,1,6,0,0,13,11,0,13,1,0,1,12227,12,57854,0,0,1
"97",195391,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","420606",190001,0,1,0,0,2,8,0,6,1,1,1,143228,5,19426,0,0,4
"98",195604,"missing","非本地籍","专科及以下","未婚",-1,0,0,"男","350583",67591,0,1,0,0,7,5,0,4,1,0,1,4500,6,43008,0,0,2
"99",195721,"missing","本地籍","本科","已婚",-1,1,0,"男","320123",30005,0,2,0,0,1,2,0,2,1,0,1,9962,3,858,0,1,2
"100",195783,"wechat","本地籍","专科及以下","已婚",4,1,0,"男","371324",191000,1,0,0,0,3,12,5,6,1,0,1,130000,3,22780,0,2,0
"101",195830,"APP","非本地籍","专科及以下","未婚",4,1,0,"男","150429",60000,0,0,0,0,6,11,0,8,0,1,1,0,6,61580,0,0,3
"102",196014,"wechat","非本地籍","专科及以下","已婚",2,0,0,"男","220182",6000,0,0,0,0,2,0,0,1,0,0,1,0,1,658,0,0,0
"103",196445,"missing","本地籍","专科及以下","已婚",-1,0,0,"女","420104",11000,0,0,0,0,1,5,0,9,0,0,1,0,1,0,0,0,4
"104",196730,"missing","本地籍","本科","已婚",-1,0,1,"女","140524",30001,0,1,0,0,12,5,0,5,1,0,1,6400,4,14535,0,0,0
"105",196813,"missing","非本地籍","专科及以下","已婚",-1,1,0,"男","370302",125000,0,2,0,0,6,2,0,11,1,0,1,44525,7,65796,0,1,2
"106",197722,"missing","本地籍","专科及以下","未婚",-1,1,0,"女","231102",50000,0,0,0,0,1,0,0,7,0,0,1,0,1,4066,0,0,0
"107",198252,"missing","本地籍","本科","未婚",-1,1,0,"女","350125",104000,0,1,0,0,12,7,0,5,1,0,1,0,9,61245,0,0,3
"108",198300,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","410121",99378,0,0,0,0,10,18,0,8,0,0,1,0,6,32553,0,0,2
"109",198428,"APP","本地籍","专科及以下","已婚",2,0,0,"女","371324",86200,0,0,0,0,5,3,1,4,0,0,1,0,4,89696,0,0,1
"110",198606,"missing","非本地籍","专科及以下","已婚",-1,1,1,"男","320923",35668,0,1,0,0,3,0,0,5,1,0,1,168,4,18158,0,0,2
"111",198671,"missing","本地籍","专科及以下","未婚",-1,0,0,"男","320582",311433,0,4,0,0,4,1,0,11,1,0,1,248451,7,26034,0,1,1
"112",198773,"missing","非本地籍","本科","未婚",-1,0,0,"男","310101",83000,0,3,0,0,9,2,0,11,1,1,1,11161,6,66655,1,0,5
"113",199361,"missing","本地籍","本科","已婚",-1,0,0,"男","320211",407477,0,1,0,0,19,9,0,4,1,1,1,12500,15,159496,0,0,7
"114",199493,"missing","本地籍","本科","未婚",-1,1,0,"男","360103",47034,0,3,0,0,2,5,0,4,1,0,1,14320,5,4804,0,0,0
"115",199708,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","340602",46294,0,1,0,0,5,7,0,4,1,1,1,5833,5,38967,0,0,2
"116",199903,"missing","非本地籍","专科及以下","已婚",-1,1,0,"女","422822",63100,0,2,0,0,5,1,0,4,1,0,1,15500,7,37686,0,0,4
"117",200200,"missing","本地籍","专科及以下","已婚",-1,1,0,"男","130324",12000,0,0,0,0,3,12,0,3,0,0,1,0,2,4041,0,0,1
"118",200751,"missing","非本地籍","本科","已婚",-1,1,0,"男","430302",89300,0,0,0,0,14,5,0,7,0,0,1,0,6,64815,0,1,5
"119",202295,"missing","本地籍","专科及以下","其他",-1,0,0,"女","420502",152000,0,0,0,0,8,11,0,1,0,0,1,0,6,104793,0,0,5
"120",202572,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","420702",25000,0,0,0,0,4,3,0,1,0,0,1,0,2,23395,0,0,1
"121",202641,"APP","本地籍","专科及以下","未婚",4,0,0,"男","321102",287100,0,6,1,0,6,14,0,13,1,0,1,265234,10,11629,0,0,1
"122",202809,"missing","本地籍","本科","已婚",-1,0,0,"男","230603",31259,0,1,0,0,2,4,0,1,1,0,1,1084,3,29996,0,0,2
"123",202874,"missing","本地籍","专科及以下","已婚",-1,0,0,"女","320122",65093,0,5,0,0,3,1,0,9,1,0,1,22293,9,19620,0,0,1
"124",203183,"missing","本地籍","专科及以下","已婚",-1,0,0,"女","410822",98647,0,2,0,0,5,9,0,5,1,0,1,35630,5,16643,0,0,2
"125",203629,"wechat","非本地籍","专科及以下","未婚",3,0,0,"男","232325",22588,0,4,0,0,2,12,0,3,1,0,1,8871,4,5660,0,0,1
"126",203831,"APP","非本地籍","未知","已婚",4,1,0,"男","430703",5000,0,0,0,0,1,3,0,0,0,0,1,0,1,3187,0,0,1
"127",204373,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","232301",71869,4,1,0,0,6,8,0,2,1,0,1,4513,6,11223,0,0,0
"128",204463,"missing","非本地籍","专科及以下","未婚",-1,1,0,"男","362427",34000,0,4,0,0,5,13,0,5,1,0,1,5000,8,20145,0,0,0
"129",204824,"missing","本地籍","硕士及以上","未婚",-1,0,0,"男","420107",48066,0,5,0,0,4,10,0,20,1,0,1,1617,6,13126,0,0,0
"130",204913,"missing","本地籍","专科及以下","未婚",-1,1,0,"女","370283",68101,0,13,0,0,4,3,0,6,1,0,1,32100,8,33451,0,0,2
"131",204958,"missing","本地籍","专科及以下","已婚",-1,1,0,"男","370785",81990,0,7,0,0,4,3,0,9,1,0,1,16981,6,34529,0,0,3
"132",205151,"missing","非本地籍","专科及以下","已婚",-1,1,0,"男","410185",120800,1,1,0,0,4,7,0,13,1,0,1,83800,6,36611,0,6,4
"133",205255,"APP","本地籍","专科及以下","已婚",2,0,0,"女","370703",624100,0,8,1,0,15,8,0,8,1,0,1,202119,13,325923,0,1,0
"134",205439,"missing","非本地籍","专科及以下","未婚",-1,0,0,"男","350423",111437,1,5,0,0,10,13,0,4,1,0,1,11850,10,55664,0,0,2
"135",205513,"wechat","非本地籍","专科及以下","离婚",6,1,0,"男","222404",106910,0,1,0,0,6,6,0,3,1,0,1,3910,4,43655,0,0,0
"136",206364,"APP","非本地籍","专科及以下","未婚",3,1,0,"男","350524",11000,0,0,0,0,1,1,0,3,0,0,1,0,1,2203,0,0,0
"137",206687,"missing","非本地籍","本科","未婚",-1,1,0,"男","342425",22500,0,2,0,0,1,0,0,3,1,0,1,11800,3,649,0,0,0
"138",206916,"missing","非本地籍","专科及以下","未婚",-1,0,0,"男","142328",120800,0,5,0,0,8,6,0,6,1,0,1,35400,9,48275,0,0,0
"139",207337,"missing","本地籍","专科及以下","未婚",-1,0,0,"男","360102",34085,0,6,0,0,3,2,0,7,1,0,1,13100,5,6531,0,0,1
"140",207548,"missing","非本地籍","本科","未婚",-1,0,0,"男","342524",62000,0,0,0,0,4,3,0,1,0,0,1,0,3,13281,0,0,0
"141",207863,"missing","非本地籍","本科","已婚",-1,1,0,"男","330382",177753,0,2,0,0,9,4,0,5,1,1,1,22000,10,109714,0,4,4
"142",207873,"missing","本地籍","专科及以下","离异",-1,0,0,"女","350402",84400,0,1,0,0,9,9,0,14,1,1,1,2127,7,55949,1,0,10
"143",208266,"missing","本地籍","本科","未婚",-1,0,0,"男","230208",344029,0,1,1,0,3,2,0,4,1,0,1,283313,5,33441,0,0,2
"144",208992,"missing","非本地籍","专科及以下","已婚",-1,1,0,"男","142229",87366,0,2,0,0,11,10,0,10,1,0,1,6300,10,47084,0,0,2
"145",209031,"missing","本地籍","本科","已婚",-1,0,0,"男","430523",286000,0,5,0,0,4,5,0,9,1,0,1,213000,8,21291,0,0,1
"146",209250,"APP","本地籍","本科","已婚",4,1,0,"女","330724",20900,0,5,0,0,0,7,0,10,1,0,1,18883,7,733,0,0,0
"147",209254,"missing","本地籍","本科","其他",-1,0,0,"男","210213",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"148",209467,"wechat","本地籍","专科及以下","已婚",7,0,0,"男","341024",475500,1,7,0,0,25,12,0,26,1,1,1,98657,15,255625,0,1,0
"149",209655,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","130529",112200,1,2,0,0,2,5,1,5,1,1,1,105067,5,1337,1,0,1
"150",210177,"wechat","非本地籍","专科及以下","未婚",4,1,0,"女","340302",317700,1,6,0,0,4,5,0,12,1,0,1,282767,8,29717,0,0,2
"151",210496,"missing","本地籍","本科","已婚",-1,0,0,"男","330523",76000,1,1,0,0,4,7,0,3,1,0,1,53150,6,14540,0,0,0
"152",210824,"missing","本地籍","专科及以下","离异",-1,0,0,"男","210211",15300,0,1,0,0,8,13,0,15,1,0,1,0,6,8191,0,0,6
"153",210933,"missing","本地籍","本科","已婚",-1,0,0,"男","230108",410001,0,1,1,0,2,3,0,5,1,0,1,363336,6,4784,0,0,1
"154",211275,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","142622",21000,0,1,0,0,2,11,0,5,1,0,1,5000,3,7761,0,0,0
"155",211650,"missing","非本地籍","专科及以下","已婚",-1,1,0,"女","110111",149683,0,0,0,0,9,2,0,2,0,0,1,0,6,68284,0,0,2
"156",212205,"missing","非本地籍","专科及以下","已婚",-1,0,0,"男","362325",112000,0,0,0,0,10,9,0,4,0,0,1,0,6,54246,0,0,2
"157",212214,"APP","非本地籍","专科及以下","已婚",3,0,0,"女","372901",10000,0,0,0,0,4,13,0,0,0,0,1,0,2,10936,0,0,0
"158",212314,"APP","本地籍","本科","已婚",3,0,0,"男","231003",474983,0,5,0,0,17,7,0,7,1,1,1,23201,12,379872,0,0,4
"159",212653,"missing","本地籍","专科及以下","未婚",-1,0,0,"女","410811",61135,0,4,0,0,3,5,0,4,1,0,1,16133,6,30611,0,0,3
"160",213447,"missing","非本地籍","专科及以下","已婚",-1,1,0,"女","332502",131400,0,6,0,0,9,7,0,8,1,0,1,47903,11,57991,0,0,0
"161",213512,"APP","非本地籍","专科及以下","未婚",2,0,1,"男","210782",16000,0,0,0,0,3,2,0,5,0,0,1,0,2,15044,0,0,2
"162",213685,"missing","本地籍","专科及以下","已婚",-1,0,0,"女","210302",48000,0,1,0,0,3,19,0,9,1,1,1,1171,6,26999,1,2,5
"163",214976,"APP","本地籍","专科及以下","已婚",4,0,0,"男","421087",797000,0,3,1,0,3,8,0,11,1,0,1,478576,7,115005,0,1,0
"164",215083,"missing","本地籍","硕士及以上","已婚",-1,0,0,"男","220122",995548,1,7,1,0,15,13,0,10,1,0,1,449768,14,288829,0,3,2
"165",215389,"rongzhijia","本地籍","本科","已婚",6,0,0,"男","350128",317444,0,1,1,0,2,3,0,8,1,0,1,106913,3,114761,0,0,2
"166",215789,"missing","非本地籍","专科及以下","已婚",-1,1,0,"男","330824",212578,0,7,0,0,4,4,0,13,1,0,1,59391,11,30842,0,0,0
"167",216213,"missing","本地籍","本科","已婚",-1,1,0,"女","230204",88330,3,2,0,0,16,10,1,9,1,0,1,15997,9,68181,0,0,2
"168",216294,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","140202",44888,0,9,0,0,2,1,1,6,1,0,1,21729,7,10115,0,0,1
"169",216386,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","410803",20000,0,1,0,0,2,2,0,3,1,0,1,2000,3,20546,0,1,4
"170",216718,"missing","非本地籍","本科","未婚",-1,0,0,"男","330781",21414,0,3,0,0,2,9,0,12,1,0,1,7114,5,2397,0,0,0
"171",217318,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","430502",67700,0,2,0,0,10,9,0,3,1,0,1,9362,4,47335,0,0,1
"172",217394,"missing","非本地籍","专科及以下","未婚",-1,1,0,"男","310102",255190,0,1,0,0,15,3,0,5,1,0,1,0,11,87483,0,0,13
"173",217755,"APP","本地籍","专科及以下","已婚",2,1,0,"女","371428",68000,0,0,0,0,9,12,0,3,0,0,1,0,8,55545,0,0,0
"174",217833,"APP","本地籍","专科及以下","已婚",3,0,0,"女","222303",26500,0,0,0,0,17,13,0,4,0,0,1,0,5,27133,0,0,0
"175",217976,"missing","本地籍","专科及以下","已婚",-1,1,0,"男","420202",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"176",218473,"missing","非本地籍","本科","未婚",-1,0,0,"男","360428",102666,1,8,0,0,3,1,0,7,1,0,1,63153,9,20335,0,0,0
"177",218808,"missing","非本地籍","本科","未婚",-1,0,0,"女","211224",42301,0,4,0,0,3,7,0,15,1,0,1,14901,7,17211,0,0,3
"178",219043,"missing","非本地籍","本科","未婚",-1,0,0,"男","362322",185830,5,9,0,0,11,8,0,15,1,1,1,43772,14,71319,0,4,1
"179",220216,"missing","非本地籍","专科及以下","未婚",-1,1,0,"女","420621",174350,0,3,0,0,15,4,0,5,1,0,1,5739,14,108646,0,0,2
